# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
american bureau of shipping,4,4,4,0.00%,2.25,00:00:32,0.00%,0,$0.00
american electronic resource,4,3,8,0.00%,2.62,00:00:30,0.00%,0,$0.00
american honda motor company inc.,4,4,7,0.00%,3.29,00:01:27,0.00%,0,$0.00
ametek hughs -treitl,4,4,8,0.00%,3.88,00:05:26,0.00%,0,$0.00
ami metals,4,5,5,0.00%,2.60,00:00:29,0.00%,0,$0.00
amphenol nexus tec,4,4,4,75.00%,5.00,00:01:31,0.00%,0,$0.00
amx argentina s.a.,4,4,7,57.14%,1.29,00:00:09,0.00%,0,$0.00
anaheim hills bike shop-110512105014,4,4,5,0.00%,2.00,00:00:17,0.00%,0,$0.00
andrews & arnold ltd,4,4,4,0.00%,3.00,00:00:21,0.00%,0,$0.00
angel computer systems,4,4,21,4.76%,3.10,00:02:15,0.00%,0,$0.00
ani cable internet,4,1,163,4.29%,2.47,00:03:15,0.00%,0,$0.00
ann arbor ceiling/national,4,3,5,20.00%,2.60,00:00:24,0.00%,0,$0.00
ans communications,4,4,4,25.00%,2.50,00:00:37,0.00%,0,$0.00
antenna wireless,4,4,5,20.00%,2.80,00:08:08,0.00%,0,$0.00
aol inc.,4,4,4,75.00%,1.75,00:00:24,0.00%,0,$0.00
aon corporation,4,4,5,0.00%,3.40,00:05:05,0.00%,0,$0.00
apc-bras-pool-4,4,3,4,0.00%,5.00,00:06:10,0.00%,0,$0.00
applied composite eng,4,4,4,0.00%,4.25,00:01:26,0.00%,0,$0.00
applied physical science,4,3,7,0.00%,2.29,00:00:23,0.00%,0,$0.00
applied technology group,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
apro repair and overhaul,4,4,4,0.00%,2.00,00:00:11,0.00%,0,$0.00
apt electronics,4,4,5,0.00%,2.40,00:00:36,0.00%,0,$0.00
ar engineering co inc,4,4,46,0.00%,3.35,00:01:22,0.00%,0,$0.00
architectural engineering,4,4,4,0.00%,2.00,00:00:08,0.00%,0,$0.00
arete - niceville- data,4,4,4,0.00%,2.50,00:00:28,0.00%,0,$0.00
areti internet ltd.,4,4,7,14.29%,3.29,00:13:29,0.00%,0,$0.00
areva sa,4,4,4,0.00%,2.25,00:00:24,0.00%,0,$0.00
arian afghan network ict service,4,4,4,75.00%,1.25,00:00:05,0.00%,0,$0.00
arkansas research and education optical network,4,4,4,0.00%,7.75,00:01:53,0.00%,0,$0.00
armor metal group mason nc.,4,4,13,0.00%,2.62,00:00:18,0.00%,0,$0.00
army & air force exchange service,4,4,4,25.00%,2.25,00:00:57,0.00%,0,$0.00
arnold magnetic technologies,4,4,8,12.50%,5.25,00:04:06,0.00%,0,$0.00
artec machine systems,4,3,7,0.00%,3.00,00:02:52,0.00%,0,$0.00
arteriocyte medical system,4,4,4,75.00%,2.00,00:00:48,0.00%,0,$0.00
artistic plating,4,4,9,0.00%,3.22,00:01:56,0.00%,0,$0.00
asc international inc.,4,4,17,5.88%,3.12,00:02:13,0.00%,0,$0.00
ascent aviation services corp,4,3,8,0.00%,2.62,00:00:33,0.00%,0,$0.00
asiatech xdsl network,4,4,4,25.00%,1.75,00:00:20,0.00%,0,$0.00
assent compliance inc,4,4,8,12.50%,2.25,00:00:31,0.00%,0,$0.00
assign for ais_internet customers,4,3,5,60.00%,2.00,00:04:19,0.00%,0,$0.00
assoc leblanc,4,4,10,30.00%,8.50,00:08:26,0.00%,0,$0.00
at&t global network services llc,4,4,8,12.50%,4.12,00:04:53,0.00%,0,$0.00
atc communications,4,4,4,0.00%,3.00,00:02:27,0.00%,0,$0.00
atlas tool die works inc.,4,4,4,0.00%,3.00,00:00:29,0.00%,0,$0.00
atos infogerance sas,4,4,4,25.00%,3.00,00:04:17,0.00%,0,$0.00
atos it solutions and services inc,4,4,4,0.00%,2.25,00:00:32,0.00%,0,$0.00
att incs,4,4,4,25.00%,3.25,00:01:29,0.00%,0,$0.00
auna,4,3,9,11.11%,4.22,00:06:24,0.00%,0,$0.00
austin machine,4,4,10,0.00%,2.90,00:00:40,0.00%,0,$0.00
austrian airlines,4,3,5,20.00%,1.80,00:00:08,0.00%,0,$0.00
autodesk inc.,4,4,4,75.00%,1.25,00:00:06,0.00%,0,$0.00
automation precision technology,4,4,9,0.00%,4.44,00:03:13,0.00%,0,$0.00
avante group inc,4,4,4,25.00%,3.00,00:00:18,0.00%,0,$0.00
avitronics,4,5,5,60.00%,1.60,00:00:36,0.00%,0,$0.00
avrotechnik,4,4,4,0.00%,2.50,00:00:30,0.00%,0,$0.00
axis cades engineering te,4,4,4,25.00%,3.00,00:02:56,0.00%,0,$0.00
b 3 solutions,4,4,4,0.00%,3.25,00:03:41,0.00%,0,$0.00
b f machine company inc,4,4,10,50.00%,2.00,00:00:31,0.00%,0,$0.00
b.net hrvatska,4,4,4,75.00%,1.25,00:00:04,0.00%,0,$0.00
b&g manufacturing co inc,4,4,4,0.00%,2.00,00:00:56,0.00%,0,$0.00
babcock & wilcox company,4,3,4,75.00%,2.25,00:00:52,0.00%,0,$0.00
baggermaatschappij boskalis b.v.,4,4,5,20.00%,2.40,00:00:13,0.00%,0,$0.00
bahagian komlek - kementerian pertahanan,4,4,4,75.00%,2.25,00:01:01,0.00%,0,$0.00
bailey hydraulics,4,4,44,20.45%,2.70,00:02:28,0.00%,0,$0.00
balsamwest fibernet llc,4,4,5,20.00%,2.00,00:00:14,0.00%,0,$0.00
banglalion communications ltd,4,4,4,25.00%,2.25,00:01:41,0.00%,0,$0.00
barak hosting,4,4,7,0.00%,3.71,00:04:20,0.00%,0,$0.00
basf business services gmbh,4,4,4,0.00%,3.00,00:02:41,0.00%,0,$0.00
baxter and woodman inc.,4,4,5,20.00%,6.60,00:03:57,0.00%,0,$0.00
bay ship,4,3,4,0.00%,2.00,00:01:43,0.00%,0,$0.00
bcl east,4,3,4,0.00%,2.25,00:00:35,0.00%,0,$0.00
bcl west 3rd floor spectrum towers mind space link road mumbai m,4,3,8,12.50%,2.25,00:00:21,0.00%,0,$0.00
bcnet,4,4,4,25.00%,2.25,00:00:49,0.00%,0,$0.00
bek,4,4,5,60.00%,23.40,00:24:24,0.00%,0,$0.00
bergen brick stone &,4,4,7,0.00%,3.00,00:01:03,0.00%,0,$0.00
bergerabam,4,4,8,0.00%,5.00,00:02:44,0.00%,0,$0.00
berget as,4,4,8,0.00%,4.25,00:01:01,0.00%,0,$0.00
bevcomm,4,4,4,0.00%,2.25,00:00:20,0.00%,0,$0.00
bfi optilas acal,4,4,4,0.00%,2.25,00:00:21,0.00%,0,$0.00
bh telecom d.d. sarajevo,4,4,4,75.00%,1.75,00:00:13,0.00%,0,$0.00
bharti airtel ltd.west bengal,4,4,4,25.00%,2.50,00:00:24,0.00%,0,$0.00
bhn-bkfd,4,4,4,25.00%,2.25,00:09:02,0.00%,0,$0.00
biotechnology industry organization,4,4,5,60.00%,1.80,00:00:39,0.00%,0,$0.00
birchenall howden mary street routed range,4,1,12,100.00%,1.00,00:00:00,0.00%,0,$0.00
bis ltd,4,4,14,28.57%,3.07,00:01:16,0.00%,0,$0.00
blue canyon technologies,4,4,4,25.00%,2.25,00:00:45,0.00%,0,$0.00
blue sea systems,4,4,4,0.00%,3.00,00:00:29,0.00%,0,$0.00
bluegrass network llc,4,4,4,0.00%,2.25,00:00:36,0.00%,0,$0.00
bluewater tv cable limited,4,3,4,25.00%,3.25,00:00:37,0.00%,0,$0.00
bo data aps,4,4,4,25.00%,2.50,00:00:25,0.00%,0,$0.00
bonneville power administration,4,4,4,25.00%,2.00,00:00:24,0.00%,0,$0.00
borserini michele,4,4,5,0.00%,4.60,00:04:33,0.00%,0,$0.00
bradley air services ltd o/a first air,4,4,4,0.00%,3.00,00:00:21,0.00%,0,$0.00
brain telecommunication ltd.,4,4,7,0.00%,1.86,00:00:19,0.00%,0,$0.00
bras23.lsanca.20070205,4,4,4,0.00%,4.00,00:07:05,0.00%,0,$0.00
bras34.pltnca08032006,4,3,9,55.56%,3.22,00:05:35,0.00%,0,$0.00
brentford,4,4,4,0.00%,2.25,00:00:25,0.00%,0,$0.00
bridge group busines customers,4,4,4,75.00%,2.25,00:01:03,0.00%,0,$0.00
bridge house,4,4,4,0.00%,3.25,00:00:33,0.00%,0,$0.00
bridgenet solutions,4,4,5,0.00%,2.60,00:00:22,0.00%,0,$0.00
bridgewater tech inc.,4,4,4,75.00%,2.25,00:00:13,0.00%,0,$0.00
broadband customers,4,4,4,0.00%,5.25,00:07:54,0.00%,0,$0.00
broadband users /22,4,4,5,0.00%,2.80,00:00:38,0.00%,0,$0.00
broadband users of vectra s.a.,4,3,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
broadband vi llc,4,4,4,75.00%,3.25,00:08:39,0.00%,0,$0.00
broetje-automation gmbh,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
bruel and kjaer,4,4,4,0.00%,4.25,00:00:25,0.00%,0,$0.00
brunswick corporation,4,4,4,0.00%,6.25,00:04:27,0.00%,0,$0.00
bsmar651 marseille bloc 1,4,3,7,0.00%,3.86,00:07:41,0.00%,0,$0.00
bstou654 toulouse bloc 1,4,3,4,25.00%,2.50,00:00:27,0.00%,0,$0.00
bt americas inc,4,4,10,0.00%,4.20,00:01:06,0.00%,0,$0.00
bt-pawlan,4,4,4,25.00%,3.50,00:02:54,0.00%,0,$0.00
business customers,4,4,4,75.00%,1.25,00:00:06,0.00%,0,$0.00
bvu authority,4,4,5,0.00%,4.40,00:00:41,0.00%,0,$0.00
c b vallino,4,4,4,25.00%,2.50,00:00:38,0.00%,0,$0.00
c&c technology,4,5,7,0.00%,8.43,00:15:46,0.00%,0,$0.00
cable tica,4,4,4,0.00%,3.50,00:03:34,0.00%,0,$0.00
cableuropa s.a.u.,4,1,7,14.29%,2.43,00:00:21,0.00%,0,$0.00
cablevision of lake havasu,4,4,4,0.00%,2.25,00:00:38,0.00%,0,$0.00
cablevision of st. joseph,4,4,4,25.00%,3.00,00:01:04,0.00%,0,$0.00
california army national guar,4,4,4,25.00%,2.00,00:00:15,0.00%,0,$0.00
call one inc.,4,4,4,0.00%,2.00,00:00:15,0.00%,0,$0.00
camden,4,4,4,25.00%,3.00,00:00:44,0.00%,0,$0.00
canadian space agency,4,4,5,0.00%,5.00,00:03:03,0.00%,0,$0.00
canal alarm,4,4,7,14.29%,9.29,00:12:31,0.00%,0,$0.00
canberra,4,4,4,25.00%,2.25,00:00:23,0.00%,0,$0.00
canby telephone association,4,4,7,42.86%,1.71,00:00:14,0.00%,0,$0.00
cap realty corp,4,4,4,0.00%,2.50,00:00:15,0.00%,0,$0.00
capanre corp of ameri,4,4,5,60.00%,1.80,00:01:07,0.00%,0,$0.00
carefusion corporation,4,4,7,42.86%,1.43,00:00:12,0.00%,0,$0.00
carlson companies inc.,4,4,4,25.00%,4.00,00:00:36,0.00%,0,$0.00
carlstah industries,4,4,4,0.00%,3.00,00:00:31,0.00%,0,$0.00
carpenter technology corporation,4,4,5,20.00%,2.00,00:03:48,0.00%,0,$0.00
cascade aerospace usa ic.,4,4,5,0.00%,2.40,00:00:17,0.00%,0,$0.00
cattaraugus county,4,4,5,60.00%,1.80,00:00:19,0.00%,0,$0.00
cbi federal services,4,4,4,0.00%,4.25,00:07:24,0.00%,0,$0.00
cdp fastener group inc,4,4,37,0.00%,2.68,00:00:37,0.00%,0,$0.00
cdw technologies inc.,4,4,5,0.00%,4.20,00:02:22,0.00%,0,$0.00
cedisisasardegnasoc.cons.a.r.l,4,4,5,0.00%,4.20,00:01:12,0.00%,0,$0.00
cell c (pty) ltd,4,4,4,25.00%,2.00,00:00:39,0.00%,0,$0.00
central wire,4,4,4,0.00%,3.50,00:03:26,0.00%,0,$0.00
centro servizi nbo milano,4,4,8,37.50%,2.62,00:04:59,0.00%,0,$0.00
century electonics,4,4,4,0.00%,10.00,00:06:48,0.00%,0,$0.00
cerner corporation,4,4,5,20.00%,2.40,00:00:56,0.00%,0,$0.00
certified manufacturing nc.,4,4,14,0.00%,3.14,00:01:49,0.00%,0,$0.00
cfi,4,3,4,0.00%,2.25,00:01:51,0.00%,0,$0.00
cgi gis telecom mdc,4,4,4,0.00%,6.25,00:05:43,0.00%,0,$0.00
cgi inc.,4,3,4,75.00%,1.25,00:00:05,0.00%,0,$0.00
cgi it uk ltd.,4,4,4,25.00%,5.00,00:04:57,0.00%,0,$0.00
cheryl price,4,4,8,12.50%,2.50,00:00:28,0.00%,0,$0.00
chickasaw telephone,4,4,5,0.00%,3.60,00:01:22,0.00%,0,$0.00
china unicom heilongjiang province network,4,4,29,24.14%,11.38,00:17:20,0.00%,0,$0.00
china unicom henan province network,4,5,5,60.00%,3.40,00:02:45,0.00%,0,$0.00
china unicom shanghai city network,4,4,4,75.00%,2.25,00:00:26,0.00%,0,$0.00
china unicom tianjin province network,4,3,9,0.00%,2.78,00:06:15,0.00%,0,$0.00
chinanet cdma network,4,4,5,20.00%,3.60,00:02:35,0.00%,0,$0.00
chip supply,4,4,5,20.00%,8.40,00:10:44,0.00%,0,$0.00
chris mccall,4,4,4,25.00%,1.75,00:00:12,0.00%,0,$0.00
christensen industries,4,4,9,0.00%,2.56,00:03:08,0.00%,0,$0.00
chromalloy gas turbine cop,4,4,4,0.00%,3.00,00:03:39,0.00%,0,$0.00
chs - bna lan,4,4,4,0.00%,2.25,00:00:39,0.00%,0,$0.00
cisco systems inc.,4,4,5,60.00%,3.40,00:07:24,0.00%,0,$0.00
citic telecom international cpc (singapore) pte limited,4,3,25,16.00%,26.88,00:16:02,0.00%,0,$0.00
city college of new york,4,3,4,0.00%,22.75,00:19:19,0.00%,0,$0.00
city of omaha,4,4,4,25.00%,3.00,00:01:49,0.00%,0,$0.00
city of san jose,4,1,4,25.00%,2.25,00:00:41,0.00%,0,$0.00
cla-val co.,4,4,7,0.00%,2.86,00:00:53,0.00%,0,$0.00
clairson de mexico s.a. de c.v.,4,4,7,14.29%,2.29,00:01:03,0.00%,0,$0.00
claranet benelux b.v.,4,4,4,0.00%,2.25,00:00:30,0.00%,0,$0.00
claranet spain network,4,5,5,0.00%,3.20,00:00:22,0.00%,0,$0.00
clarksville department of electricity,4,4,7,42.86%,3.29,00:03:17,0.00%,0,$0.00
clayton international inc,4,4,4,0.00%,2.25,00:00:19,0.00%,0,$0.00
clear surf,4,4,4,0.00%,2.25,00:00:13,0.00%,0,$0.00
clearwire belgium sprl,4,4,5,60.00%,3.60,00:01:49,0.00%,0,$0.00
cleeve technology pine ridge,4,4,14,0.00%,3.43,00:01:02,0.00%,0,$0.00
cloudconnect llc,4,4,5,0.00%,4.40,00:02:08,0.00%,0,$0.00
cma cablevision,4,4,5,60.00%,2.40,00:00:20,0.00%,0,$0.00
coditel brabant sprl/bvba,4,4,4,0.00%,2.00,00:00:20,0.00%,0,$0.00
cogent power,4,4,7,14.29%,1.86,00:00:24,0.00%,0,$0.00
com dev europe,4,4,4,25.00%,2.00,00:00:28,0.00%,0,$0.00
comenius university bratislava,4,4,4,0.00%,3.00,00:02:08,0.00%,0,$0.00
communications and communicate nepal (p)ltd.,4,3,4,25.00%,1.75,00:00:39,0.00%,0,$0.00
compass bank,4,4,4,0.00%,2.25,00:00:20,0.00%,0,$0.00
computacenter ag & co. ohg,4,4,7,42.86%,1.86,00:00:34,0.00%,0,$0.00
coner st one component,4,4,9,33.33%,2.89,00:07:25,0.00%,0,$0.00
conesys,4,4,5,0.00%,9.40,00:08:03,0.00%,0,$0.00
connected by gts poland,4,4,4,0.00%,3.50,00:00:51,0.00%,0,$0.00
consolidated electronic wire and cab,4,4,4,0.00%,3.50,00:03:00,0.00%,0,$0.00
continental heat treating inc,4,4,12,8.33%,5.42,00:06:05,0.00%,0,$0.00
continental tire north america inc,4,4,7,42.86%,1.71,00:00:18,0.00%,0,$0.00
converge ict network,4,3,4,25.00%,2.25,00:01:21,0.00%,0,$0.00
cooperative industries,4,1,51,23.53%,2.24,00:03:56,0.00%,0,$0.00
copenhagen airports a/s,4,3,4,0.00%,4.00,00:12:27,0.00%,0,$0.00
cosentry.net llc,4,4,4,0.00%,3.00,00:00:29,0.00%,0,$0.00
cospolich refrigerator company,4,4,5,20.00%,4.60,00:02:01,0.00%,0,$0.00
creative network solutions,4,4,5,20.00%,4.20,00:15:30,0.00%,0,$0.00
crenlo llc,4,4,8,12.50%,2.88,00:02:08,0.00%,0,$0.00
crestron asia (s) pte ltd,4,4,5,0.00%,2.60,00:00:51,0.00%,0,$0.00
crissair inc.,4,4,5,0.00%,3.40,00:01:51,0.00%,0,$0.00
crosstelecom,4,5,7,42.86%,2.00,00:00:30,0.00%,0,$0.00
croydon,4,4,5,20.00%,1.80,00:00:20,0.00%,0,$0.00
ct communications network,4,4,20,15.00%,5.00,00:06:56,0.00%,0,$0.00
cts engines,4,4,4,25.00%,1.75,00:01:14,0.00%,0,$0.00
curtiss-wright electro-mechanical corporation,4,4,8,12.50%,2.88,00:01:02,0.00%,0,$0.00
custom control concepts inc,4,4,5,20.00%,2.40,00:00:56,0.00%,0,$0.00
customer lan subnet,4,3,5,0.00%,4.20,00:07:17,0.00%,0,$0.00
customer numbered links,4,4,4,25.00%,5.50,00:09:35,0.00%,0,$0.00
customer p2p interface addresses in nl,4,3,10,90.00%,6.40,00:01:50,0.00%,0,$0.00
cwps,4,4,4,0.00%,2.25,00:00:17,0.00%,0,$0.00
cyber point international llc,4,4,4,25.00%,2.00,00:00:13,0.00%,0,$0.00
cyberzone online,4,4,4,25.00%,2.50,00:00:17,0.00%,0,$0.00
cywest communications,4,4,8,0.00%,6.50,00:13:18,0.00%,0,$0.00
czech airport authority,4,4,4,0.00%,4.50,00:01:21,0.00%,0,$0.00
d&p communications inc.,4,4,4,0.00%,3.50,00:00:42,0.00%,0,$0.00
dangle aviation,4,4,18,0.00%,3.50,00:01:54,0.00%,0,$0.00
data memory systems,4,4,4,25.00%,3.25,00:01:02,0.00%,0,$0.00
datamaxx applied technologies inc.,4,3,5,0.00%,3.60,00:01:37,0.00%,0,$0.00
datapoint,4,4,4,0.00%,4.25,00:05:37,0.00%,0,$0.00
daystarr communications,4,4,4,25.00%,1.75,00:00:06,0.00%,0,$0.00
dealer/ip networked serv,4,4,8,0.00%,9.25,00:07:42,0.00%,0,$0.00
dedibox sas,4,4,5,20.00%,6.00,00:02:57,0.00%,0,$0.00
dedupot mis7ln0,4,4,4,0.00%,3.25,00:01:50,0.00%,0,$0.00
defence science and technology laboratory,4,5,7,0.00%,4.14,00:03:18,0.00%,0,$0.00
deharde maschinenbau helmut hoffmann gmbh,4,4,10,30.00%,3.70,00:04:44,0.00%,0,$0.00
department of homeland security,4,4,7,42.86%,2.00,00:01:34,0.00%,0,$0.00
department of interior,4,4,4,25.00%,3.00,00:00:46,0.00%,0,$0.00
derby,4,3,4,0.00%,4.00,00:02:52,0.00%,0,$0.00
desert inet,4,4,5,20.00%,2.40,00:01:32,0.00%,0,$0.00
desert winds wireless,4,4,4,0.00%,3.00,00:01:16,0.00%,0,$0.00
desser tire rubber company,4,4,5,0.00%,3.60,00:01:38,0.00%,0,$0.00
detyens shipyards inc.,4,4,4,0.00%,2.00,00:00:10,0.00%,0,$0.00
dialup pool,4,4,4,75.00%,1.25,00:00:10,0.00%,0,$0.00
diehl aerosystems,4,5,5,0.00%,3.20,00:01:55,0.00%,0,$0.00
digicel jamaica,4,4,5,20.00%,2.60,00:00:34,0.00%,0,$0.00
digicel pacific ltd,4,4,4,75.00%,2.00,00:00:15,0.00%,0,$0.00
digis llc,4,4,5,0.00%,4.00,00:02:57,0.00%,0,$0.00
digital highway,4,4,4,0.00%,5.00,00:01:06,0.00%,0,$0.00
digital sense data centres brisbane australia,4,4,4,0.00%,2.25,00:00:16,0.00%,0,$0.00
digitran,4,4,5,20.00%,2.80,00:00:21,0.00%,0,$0.00
digiweb ltd.,4,4,5,60.00%,2.00,00:00:16,0.00%,0,$0.00
disney worldwide services inc.,4,4,4,25.00%,5.00,00:02:17,0.00%,0,$0.00
dixie metalcraft,4,4,4,0.00%,2.00,00:00:17,0.00%,0,$0.00
djaweb backbone pops,4,4,4,25.00%,5.25,00:12:07,0.00%,0,$0.00
dme corporation,4,4,10,0.00%,3.80,00:02:46,0.00%,0,$0.00
dmjcosta ent,4,5,5,0.00%,3.60,00:00:37,0.00%,0,$0.00
dms environmental,4,4,5,0.00%,2.00,00:00:10,0.00%,0,$0.00
dobson technologies - transport and telecom solutions llc,4,4,4,0.00%,4.00,00:00:49,0.00%,0,$0.00
doedijns bv,4,4,4,25.00%,4.50,00:01:37,0.00%,0,$0.00
dongliguangdian-ltd.,4,5,18,16.67%,3.83,00:06:37,0.00%,0,$0.00
douglas county school district,4,4,4,0.00%,2.00,00:00:28,0.00%,0,$0.00
drs electronic systems,4,4,4,0.00%,5.50,00:02:11,0.00%,0,$0.00
drs technologies uk ltd,4,4,4,0.00%,5.50,00:07:12,0.00%,0,$0.00
dsl pool,4,4,4,25.00%,3.00,00:01:33,0.00%,0,$0.00
dsl subscribers,4,4,4,0.00%,3.50,00:01:26,0.00%,0,$0.00
dtc communications inc.,4,4,7,0.00%,3.86,00:06:38,0.00%,0,$0.00
dtu danish technical university,4,4,17,5.88%,6.29,00:08:27,0.00%,0,$0.00
dutch space bv,4,4,4,0.00%,3.00,00:01:37,0.00%,0,$0.00
dynamic address cmts,4,4,4,25.00%,2.00,00:00:22,0.00%,0,$0.00
dynamic allocation for broadband subscribers,4,4,4,25.00%,5.00,00:03:04,0.00%,0,$0.00
dynamic group,4,4,4,0.00%,4.25,00:02:48,0.00%,0,$0.00
dynamic ip address for residential broadband customers,4,4,4,25.00%,1.75,00:00:12,0.00%,0,$0.00
dynamic ip addresses,4,4,4,25.00%,5.25,00:01:31,0.00%,0,$0.00
dynamic ip assignment for broadband service,4,1,4,75.00%,2.25,00:00:11,0.00%,0,$0.00
dynamic pool for dsl,4,1,4,25.00%,2.00,00:00:25,0.00%,0,$0.00
dynomax inc,4,5,7,0.00%,2.43,00:00:16,0.00%,0,$0.00
eads north america defense,4,1,4,0.00%,5.25,00:03:25,0.00%,0,$0.00
eas manufacturing co.,4,4,4,0.00%,2.25,00:01:36,0.00%,0,$0.00
eastern shore communications llc,4,4,4,0.00%,4.00,00:04:32,0.00%,0,$0.00
ebox,4,3,4,0.00%,4.25,00:06:23,0.00%,0,$0.00
eclipse static adsl pool/30,4,4,7,0.00%,3.29,00:03:24,0.00%,0,$0.00
eclypse international corp,4,3,4,0.00%,4.00,00:01:35,0.00%,0,$0.00
edatel s.a. e.s.p,4,4,4,75.00%,1.25,00:00:04,0.00%,0,$0.00
educational testing service,4,3,4,0.00%,2.50,00:00:31,0.00%,0,$0.00
eg&g technical servi,4,4,4,25.00%,2.25,00:00:11,0.00%,0,$0.00
ehmke manufacturing,4,4,8,37.50%,1.62,00:00:13,0.00%,0,$0.00
elavon inc,4,4,4,0.00%,4.00,00:02:26,0.00%,0,$0.00
electro kut inc,4,4,4,25.00%,2.25,00:00:25,0.00%,0,$0.00
electron ic connection,4,4,9,0.00%,3.67,00:07:09,0.00%,0,$0.00
electronic power design inc.,4,4,4,0.00%,4.00,00:01:08,0.00%,0,$0.00
ellijay telephone company,4,4,7,14.29%,3.14,00:02:38,0.00%,0,$0.00
emerging markets communications,4,4,4,25.00%,2.50,00:00:38,0.00%,0,$0.00
emerson telecom services,4,4,4,0.00%,2.50,00:03:02,0.00%,0,$0.00
empire southwest,4,4,4,0.00%,2.25,00:00:25,0.00%,0,$0.00
empresa brasileira de aeronautica s/a,4,1,4,0.00%,2.50,00:08:00,0.00%,0,$0.00
empresa provincial de energia de cordoba,4,1,8,12.50%,2.12,00:01:24,0.00%,0,$0.00
en pointe technologies sales inc.,4,4,4,0.00%,5.00,00:06:16,0.00%,0,$0.00
enpro industries inc.,4,4,7,0.00%,3.00,00:01:59,0.00%,0,$0.00
entel pcs telecomunicaciones s.a.,4,4,4,75.00%,3.25,00:00:39,0.00%,0,$0.00
entertainment partners - naomi,4,4,4,75.00%,1.25,00:00:19,0.00%,0,$0.00
entouch,4,4,4,25.00%,5.25,00:01:07,0.00%,0,$0.00
escalon medical corp.,4,4,4,0.00%,4.00,00:00:39,0.00%,0,$0.00
esg elektroniksystem- und logistik gmbh muenchen,4,3,13,0.00%,2.69,00:02:27,0.00%,0,$0.00
esna aerospace,4,4,5,0.00%,4.60,00:11:06,0.00%,0,$0.00
essensys ltd,4,4,4,25.00%,4.25,00:08:16,0.00%,0,$0.00
ets telephone company inc.,4,4,4,25.00%,3.25,00:02:00,0.00%,0,$0.00
ettihad etisalat,4,4,4,25.00%,4.25,00:04:19,0.00%,0,$0.00
eurobell,4,4,4,0.00%,3.50,00:00:44,0.00%,0,$0.00
eurodoc,4,4,17,5.88%,2.94,00:03:00,0.00%,0,$0.00
euskaltel s.a.,4,4,4,25.00%,2.00,00:01:02,0.00%,0,$0.00
ex-eltronics incorporated,4,4,4,0.00%,3.00,00:00:32,0.00%,0,$0.00
excelsior college,4,4,4,25.00%,1.75,00:00:15,0.00%,0,$0.00
exclusive millwork,4,3,5,0.00%,4.20,00:02:16,0.00%,0,$0.00
f.a. wilhelm construction co.,4,4,5,20.00%,2.80,00:00:23,0.00%,0,$0.00
fagioli inc,4,4,4,75.00%,1.25,00:00:04,0.00%,0,$0.00
farmers independent telephone company,4,4,4,0.00%,3.00,00:00:28,0.00%,0,$0.00
fast telco infra structure skb-nrps ip addresses,4,4,5,20.00%,2.80,00:03:37,0.00%,0,$0.00
fdcservers.net,4,4,4,0.00%,2.50,00:00:17,0.00%,0,$0.00
ferndown industrial estate,4,4,4,0.00%,2.25,00:01:50,0.00%,0,$0.00
ferranti technologies,4,4,4,0.00%,2.00,00:00:17,0.00%,0,$0.00
fh peterson,4,0,5,20.00%,2.60,00:00:17,0.00%,0,$0.00
fischer elektronik gmbh & co kg,4,4,4,0.00%,2.25,00:00:21,0.00%,0,$0.00
fisher scientific,4,4,5,60.00%,3.40,00:01:04,0.00%,0,$0.00
fixed broadband - dynamic pool,4,4,5,20.00%,2.80,00:01:13,0.00%,0,$0.00
flex power generation,4,4,5,0.00%,5.80,00:03:42,0.00%,0,$0.00
flexus electronics,4,4,7,42.86%,3.14,00:04:49,0.00%,0,$0.00
florida institute of technology,4,3,5,0.00%,3.20,00:02:28,0.00%,0,$0.00
florina,4,4,4,0.00%,3.25,00:00:29,0.00%,0,$0.00
fluidata ltd,4,4,4,0.00%,3.00,00:00:33,0.00%,0,$0.00
fluidmecanica sur s.l.,4,4,7,0.00%,9.29,00:15:16,0.00%,0,$0.00
forsvarets logistikkorganisasjon ikt,4,4,10,10.00%,5.20,00:03:46,0.00%,0,$0.00
fraunhofer-gesellschaft zur foerderung der angewandten forschung,4,5,5,60.00%,1.80,00:00:11,0.00%,0,$0.00
fritidsresor ab,4,4,4,0.00%,2.00,00:00:17,0.00%,0,$0.00
fti consulting,4,5,5,60.00%,1.80,00:00:13,0.00%,0,$0.00
ftip003115411 technique ltd.,4,5,21,0.00%,5.43,00:08:37,0.00%,0,$0.00
ftip003263938 atlas elektronik uk ltd,4,4,8,0.00%,4.12,00:02:05,0.00%,0,$0.00
ftip003287965 alan england t/a england communication,4,4,4,0.00%,4.25,00:01:15,0.00%,0,$0.00
ftip003307366 survitec,4,4,4,25.00%,1.75,00:00:08,0.00%,0,$0.00
ftip003320600 aerotech laboratories ltd,4,4,5,80.00%,1.40,00:00:01,0.00%,0,$0.00
ftip003390313 thompson aero seating ltd,4,4,4,0.00%,4.25,00:01:14,0.00%,0,$0.00
